
episilon: 0.00000010

7*x1-log(x1)
#Iteração	| Newton Padrão		| Newton Modificado	| Newton Inexato
0		|3.00258509299405e+00	|3.00258509299405e+00	|3.00258509299405e+00	|Norma F1: 3.00000000 Norma D1: 0.03000000	Norma F2: 3.00000000 Norma D2: 0.03000000	Norma F3: 3.00000000 Norma D3: 0.03000000
1		|2.95022082852655e+00	|2.95022082852655e+00	|2.95022082852655e+00	|Norma F1: 0.69230769 Norma D1: 0.01170000	Norma F2: 3.00000000 Norma D2: 0.03000000	Norma F3: 0.69230769 Norma D3: 0.01170000
2		|2.94594313228550e+00	|2.95258146374831e+00	|2.94594313228550e+00	|Norma F1: 0.05716302 Norma D1: 0.00114777	Norma F2: 0.75000000 Norma D2: 0.01920000	Norma F3: 0.05716302 Norma D3: 0.00114777
3		|2.94591015120774e+00	|2.94601483525819e+00	|2.94591015120774e+00	|Norma F1: 0.00045930 Norma D1: 0.00000937	Norma F2: 0.75000000 Norma D2: 0.01920000	Norma F3: 0.00045930 Norma D3: 0.00000937
4		|2.94591014905531e+00	|2.95821830945007e+00	|2.94591014905531e+00	|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 1.22368421 Norma D2: 0.01809408	Norma F3: 0.00000003 Norma D3: 0.00000000
5		|			|2.94615895013825e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 1.22368421 Norma D2: 0.01809408	Norma F3: 0.00000003 Norma D3: 0.00000000
6		|			|2.95101902507106e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.66238886 Norma D2: 0.01649156	Norma F3: 0.00000003 Norma D3: 0.00000000
7		|			|2.94597025217336e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.66238886 Norma D2: 0.01649156	Norma F3: 0.00000003 Norma D3: 0.00000000
8		|			|2.95463772745477e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 1.01249745 Norma D2: 0.01577096	Norma F3: 0.00000003 Norma D3: 0.00000000
9		|			|2.94603901211050e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 1.01249745 Norma D2: 0.01577096	Norma F3: 0.00000003 Norma D3: 0.00000000
10		|			|2.95010635391766e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.60396869 Norma D2: 0.01476363	Norma F3: 0.00000003 Norma D3: 0.00000000
11		|			|2.94595014138302e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.60396869 Norma D2: 0.01476363	Norma F3: 0.00000003 Norma D3: 0.00000000
12		|			|2.95272679992649e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.88521122 Norma D2: 0.01423706	Norma F3: 0.00000003 Norma D3: 0.00000000
13		|			|2.94599023798957e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.88521122 Norma D2: 0.01423706	Norma F3: 0.00000003 Norma D3: 0.00000000
14		|			|2.94949307245898e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.56059290 Norma D2: 0.01351935	Norma F3: 0.00000003 Norma D3: 0.00000000
15		|			|2.94593901448990e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.56059290 Norma D2: 0.01351935	Norma F3: 0.00000003 Norma D3: 0.00000000
16		|			|2.95151973020519e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.79696094 Norma D2: 0.01310951	Norma F3: 0.00000003 Norma D3: 0.00000000
17		|			|2.94596511009153e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.79696094 Norma D2: 0.01310951	Norma F3: 0.00000003 Norma D3: 0.00000000
18		|			|2.94904754000453e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.52642334 Norma D2: 0.01256165	Norma F3: 0.00000003 Norma D3: 0.00000000
19		|			|2.94593211011199e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.52642334 Norma D2: 0.01256165	Norma F3: 0.00000003 Norma D3: 0.00000000
20		|			|2.95068277135356e+00	|			|Norma F1: 0.00000003 Norma D1: 0.00000000	Norma F2: 0.73091353 Norma D2: 0.01222938	Norma F3: 0.00000003 Norma D3: 0.00000000
Tempo total 	| 1.90995633602142e-04	| 2.45000422000885e-03	| 4.60006296634674e-04  
Tempo derivadas | 5.51300495862961e-03	| 5.51300495862961e-03	| 5.51300495862961e-03 
Tempo SL 	| 4.96689975261688e-02	| 4.96689975261688e-02	| 4.96689975261688e-02 

episilon: 0.00000010

7*x1-log(x1)
#Iteração	| Newton Padrão		| Newton Modificado	| Newton Inexato
0		|4.67517018598809e+00	|4.67517018598809e+00	|4.67517018598809e+00	|Norma F1: 93.00000000 Norma D1: 0.00930000	Norma F2: 93.00000000 Norma D2: 0.00930000	Norma F3: 93.00000000 Norma D3: 0.00930000
1		|4.08275018307130e+00	|4.08275018307130e+00	|4.08275018307130e+00	|Norma F1: 44.81347150 Norma D1: 0.01669257	Norma F2: 93.00000000 Norma D2: 0.00930000	Norma F3: 44.81347150 Norma D3: 0.01669257
2		|3.57639074071603e+00	|3.75454856115633e+00	|3.57639074071603e+00	|Norma F1: 20.78351199 Norma D1: 0.02692431	Norma F2: 27.96503497 Norma D2: 0.02287428	Norma F3: 20.78351199 Norma D3: 0.02692431
3		|3.20635891025572e+00	|3.32699297353862e+00	|3.20635891025572e+00	|Norma F1: 8.89398475 Norma D1: 0.03520714	Norma F2: 27.96503497 Norma D2: 0.02287428	Norma F3: 8.89398475 Norma D3: 0.03520714
